nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19493184,756102,América
Uruguay,3426260,176215,América
Colombia,51516562,1141748,América
Mexico,126014024,1964375,América
Alemania,83149300,357022,Europa
España,47450795,505990,Europa
Francia,67750000,551695,Europa
Italia,59110000,301340,Europa
Japon,125800000,377975,Asia
China,1412000000,9596961,Asia
India,1408000000,3287263,Asia
Australia,25690000,7692024,Oceanía
Sudafrica,59308690,1221037,África
Egipto,109300000,1002450,África
Perú,3400000,1285216,América
Argelia,46810000,2381741,África